"recipe_id","ingredient_id","measure"
"6462a8f74c3d0ddd28897fcd","640c2dd963a319ea671e367e","175g"
"6462a8f74c3d0ddd28897fcd","640c2dd963a319ea671e3687","175g"
"6462a8f74c3d0ddd28897fcd","640c2dd963a319ea671e3762","140g"
"6462a8f74c3d0ddd28897fcd","640c2dd963a319ea671e3814","50g"
"6462a8f74c3d0ddd28897fcd","640c2dd963a319ea671e3665",½ tsp
"6462a8f74c3d0ddd28897fcd","640c2dd963a319ea671e36ca","3 Medium"
"6462a8f74c3d0ddd28897fcd","640c2dd963a319ea671e3786",½ tsp
"6462a8f74c3d0ddd28897fcd","640c2dd963a319ea671e3861",¼ teaspoon
"6462a8f74c3d0ddd28897fcd","640c2dd963a319ea671e380f",½ tsp
"6462a8f74c3d0ddd28897fcd","640c2dd963a319ea671e37bf","200g"
"6462a8f74c3d0ddd28897fcd","640c2dd963a319ea671e3813","1kg"
"6462a8f74c3d0ddd28897fcd","640c2dd963a319ea671e379d",Dusting
"6462a8f74c3d0ddd28897fbc","640c2dd963a319ea671e3796","300g soaked overnight in water"
"6462a8f74c3d0ddd28897fbc","640c2dd963a319ea671e370c","2kg cut into 3cm cubes"
"6462a8f74c3d0ddd28897fbc","640c2dd963a319ea671e372c","120ml"
"6462a8f74c3d0ddd28897fbc","640c2dd963a319ea671e3765","24 Skinned"
"6462a8f74c3d0ddd28897fbc","640c2dd963a319ea671e3684","4 large"
"6462a8f74c3d0ddd28897fbc","640c2dd963a319ea671e3784","2"
"6462a8f74c3d0ddd28897fbc","640c2dd963a319ea671e3689","1"
"6462a8f74c3d0ddd28897fbc","640c2dd963a319ea671e368d","350g"
"6462a8f74c3d0ddd28897fbc","640c2dd963a319ea671e3794","150ml"
"6462a8f74c3d0ddd28897fbc","640c2dd963a319ea671e3687","1 tsp"
"6462a8f74c3d0ddd28897fbc","640c2dd963a319ea671e36de","4 sprigs"
"6462a8f74c3d0ddd28897fbc","640c2dd963a319ea671e3731","4 sprigs"
"6462a8f74c3d0ddd28897fbc","640c2dd963a319ea671e3696","450ml"
"6462a8f74c3d0ddd2889800c","640c2dd963a319ea671e367e","100g "
"6462a8f74c3d0ddd2889800c","640c2dd963a319ea671e370b","900g"
"6462a8f74c3d0ddd2889800c","640c2dd963a319ea671e3801","3"
"6462a8f74c3d0ddd2889800c","640c2dd963a319ea671e372e","2 medium"
"6462a8f74c3d0ddd2889800c","640c2dd963a319ea671e3684","4 sliced"
"6462a8f74c3d0ddd2889800c","640c2dd963a319ea671e3743","25g"
"6462a8f74c3d0ddd2889800c","640c2dd963a319ea671e3798","2 tsp"
"6462a8f74c3d0ddd2889800c","640c2dd963a319ea671e3696","500ml"
"6462a8f74c3d0ddd2889800c","640c2dd963a319ea671e366b","2"
"6462a8f74c3d0ddd2889800c","640c2dd963a319ea671e3746","900g"
"6462a8f74c3d0ddd28897fbf","640c2dd963a319ea671e376c","3/4 cup"
